,,ТИП,ПРОДУКТ,ПРОГРАММА,"Стоимость продукта

*только для продуктов с фиксированной стоимостью",ВАЛЮТА,ПОСТАВЩИК,% DS,Свойство,Срок Контракта,Год выплаты КВ,Баллы,МЕТОДИКА РАСЧЕТА БАЛЛОВ,Комментарии,Категория
,,Брокерский счет,БРОКЕР+,ПИФ БКС Российские Еврооблигации,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,ИПИФ АТОН-ОФЗ,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,ПИФ АТОН Фонд Эшелон 2.0 ,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,ПИФ АТОН Фонд Еврооблигаций,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
,,Брокерский счет,БРОКЕР+,ИФ АТОН Фонд Петр Столыпин,,RUB,БРОКЕР+,,MF,,,,,,Портфельное управление
"
",,,,,,,,,,,,,,,
"
",,ПОРТФЕЛЬНОЕ УПРАВЛЕНИЕ,,,,,,,,,,,,,
"
",,,,,"Пример расчета: Клиент внес на брокерский счет 100 000 руб., программа Тинькофф Робоэдвайзер
Партнер получит согласно формуле расчета  100 000/100*0,02= 20 баллов
Так же 1 раз в квартал Партнеру будет начислены баллы за оплету клиентом комиссии MF
Сумма активов находящихся на БС 100 000 /100*0,005 = 5 баллов",,,,,,,,,,
,,Брокерский счет,Робоэдвайзер,Финам портфель,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Финам портфель,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Тинькофф портфель,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Тинькофф портфель,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
"
",,Брокерский счет,Робоэдвайзер,Фридом Финанс Портфель,,RUB,м,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Фридом Финанс Портфель,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,FF Kazakhstan Портфель,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,FF Kazakhstan Портфель,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Freedom Finance Global Портфель,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Freedom Finance Global Портфель,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Цифра. Рынок РФ,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Цифра. Рынок РФ,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Freedom Global ETF,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,Freedom Global ETF,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,ТВ,,RUB,RG.HT,"2,00%",upfront,,,,"Сумма оплаты клиента/100*0,02",,Портфельное управление
,,Брокерский счет,Робоэдвайзер,ТВ,,RUB,RG.HT,"0,50%",mf,,,,"Сумма оплаченного клиентом mf/100*0,005",,Портфельное управление
,,,,,,,,,,,,,,,
,??? остался вопрос по Америке,Внебирживые инвестиции,Axevil,Axevil,,USD,Axevil,"3,00%",upfront,,,,"Сумма оплаты клиента*курс валюты/100*0,03",выплата комиссионных и начисление баллов через 1 мес. после активации контактов,IPO
,??? остался вопрос по Америке,Внебирживые инвестиции,Axevil,Axevil,,USD,Axevil,"3,00%",SF,,,,"Сумма дохода после закрытия сделки*курс валюты/100*0,03",,IPO
,,Внебирживые инвестиции,Парус,Парус,,RUB,Кэпитал Борд,"3,00%",,,,,"Сумма оплаты клиента/100*0,03",привязано к сроку закрытия раунда,Портфельное управление
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"3,45%",,1,1,,"Сумма оплаты клиента/100*0,0345",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"6,89%",,2,1,,"Сумма оплаты клиента/100*0,0689",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"0,97%",,2,2,,"Сумма оплаты клиента/100*0,0097",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"10,34%",,3,1,,"Сумма оплаты клиента/100*0,1034",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,44%",,3,2,,"Сумма оплаты клиента/100*0,0144",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,04%",,3,3,,"Сумма оплаты клиента/100*0,0104",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"13,78%",,4,1,,"Сумма оплаты клиента/100*0,1378",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,93%",,4,2,,"Сумма оплаты клиента/100*0,0193",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,38%",,4,3,,"Сумма оплаты клиента/100*0,0138",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"0,97%",,4,4,,"Сумма оплаты клиента/100*0,0097",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"17,22%",,5,1,,"Сумма оплаты клиента/100*0,1722",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"2,41%",,5,2,,"Сумма оплаты клиента/100*0,0241",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,72%",,5,3,,"Сумма оплаты клиента/100*0,0172",накопительная часть ,Страховые
